Key;Flow Name;Producer Model;Producer port;Producer operator;Signal Name;Consumer Model;Consumer port;Consumer Operator;Priority;Automatic Choice Available;Automatic Choice;Manual Choice;Comment
EIU/1/K4_in;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;sycond/1;ACSC2_a4_b_label061_bit15_K4;;ACSC2_a4_b_label061_bit15_K4;EIU/1;K4_in;;2;Connection Over Empty;X;;
EIU/1/K5_in;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;K5_in;EIU/1;K5_in;;1;Connection Over Empty;;;
EIU/1/K5_in;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;sycond/1;ACSC2_a4_b_label061_bit16_K5;;ACSC2_a4_b_label061_bit16_K5;EIU/1;K5_in;;2;Connection Over Empty;X;;
EIU/1/K6_in;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;K6_in;EIU/1;K6_in;;1;Connection Over Empty;;;
EIU/1/K6_in;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;sycond/1;ACSC2_a4_b_label061_bit17_K6;;ACSC2_a4_b_label061_bit17_K6;EIU/1;K6_in;;2;Connection Over Empty;X;;
EIU/1/LVR_TOGA_Act;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;LVR_TOGA_Act;EIU/1;LVR_TOGA_Act;;1;Priority;X;;
EIU/1/LVR_TOGA_Act;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;;;;OUT_BSGINSYS;EIU/1;LVR_TOGA_Act;;2;Priority;;;
EIU/1/MAN_Soft_GA_Act;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;MAN_Soft_GA_Act;EIU/1;MAN_Soft_GA_Act;;1;Priority;X;;
EIU/1/MAN_Soft_GA_Act;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;;;;OUT_BSGADIS;EIU/1;MAN_Soft_GA_Act;;2;Priority;;;
EIU/1/Normal115VAC_XP103_XP204;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;Normal115VAC_XP103_XP204;EIU/1;Normal115VAC_XP103_XP204;;1;Connection Over Empty;;;
EIU/1/Normal115VAC_XP103_XP204;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;syelec/1;EP103XP;;EP103XP;EIU/1;Normal115VAC_XP103_XP204;;2;Connection Over Empty;X;;
EIU/1/Normal28VDC_PP301_PP202;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;Normal28VDC_PP301_PP202;EIU/1;Normal28VDC_PP301_PP202;;1;Connection Over Empty;;;
EIU/1/Normal28VDC_PP301_PP202;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;syelec/1;EP301PP;;EP301PP;EIU/1;Normal28VDC_PP301_PP202;;2;Connection Over Empty;X;;
EIU/1/One_Pack1;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;One_Pack1;EIU/1;One_Pack1;;1;Connection Over Empty;;;
EIU/1/One_Pack1;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;sycond/1;ACSC1_a4_b_label061_bit24_OnePackOperation;;ACSC1_a4_b_label061_bit24_OnePackOperation;EIU/1;One_Pack1;;2;Connection Over Empty;X;;
EIU/1/One_Pack2;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;One_Pack2;EIU/1;One_Pack2;;1;Connection Over Empty;;;
EIU/1/One_Pack2;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;sycond/1;ACSC2_a4_b_label061_bit24_OnePackOperation;;ACSC2_a4_b_label061_bit24_OnePackOperation;EIU/1;One_Pack2;;2;Connection Over Empty;X;;
EIU/1/Retard_Mode_Active;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;Retard_Mode_Active;EIU/1;Retard_Mode_Active;;1;Connection Over Empty;;;
EIU/1/Retard_Mode_Active;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;FGE/1;OUT_BRETARD;;OUT_BRETARD;EIU/1;Retard_Mode_Active;;2;Connection Over Empty;X;;
EIU/1/Thrust_N1_Mode_Active;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;Thrust_N1_Mode_Active;EIU/1;Thrust_N1_Mode_Active;;1;Connection Over Empty;;;
EIU/1/Thrust_N1_Mode_Active;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;FGE/1;OUT_BTHRUST;;OUT_BTHRUST;EIU/1;Thrust_N1_Mode_Active;;2;Connection Over Empty;X;;
EIU/1/Two_Pack1;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;Two_Pack1;EIU/1;Two_Pack1;;1;Connection Over Empty;;;
EIU/1/Two_Pack1;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;sycond/1;ACSC1_a4_b_label061_bit25_TwoPackOperation;;ACSC1_a4_b_label061_bit25_TwoPackOperation;EIU/1;Two_Pack1;;2;Connection Over Empty;X;;
EIU/1/Two_Pack2;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;Two_Pack2;EIU/1;Two_Pack2;;1;Connection Over Empty;;;
EIU/1/Two_Pack2;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;sycond/1;ACSC2_a4_b_label061_bit25_TwoPackOperation;;ACSC2_a4_b_label061_bit25_TwoPackOperation;EIU/1;Two_Pack2;;2;Connection Over Empty;X;;
EIU/1/Xbleed_Valve_Open1;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;Xbleed_Valve_Open1;EIU/1;Xbleed_Valve_Open1;;1;Connection Over Empty;;;
EIU/1/Xbleed_Valve_Open1;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;BMC/1;ARX_OUT_CBV_SELECTION_OP;;ARX_OUT_CBV_SELECTION_OP_BMC_1;EIU/1;Xbleed_Valve_Open1;;2;Connection Over Empty;X;;
EIU/1/Xbleed_Valve_Open2;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;Xbleed_Valve_Open2;EIU/1;Xbleed_Valve_Open2;;1;Connection Over Empty;;;
EIU/1/Xbleed_Valve_Open2;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;BMC/2;ARX_OUT_CBV_SELECTION_OP;;ARX_OUT_CBV_SELECTION_OP_BMC_2;EIU/1;Xbleed_Valve_Open2;;2;Connection Over Empty;X;;
EIU/2/ATHR_Inop;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;ATHR_Inop;EIU/2;ATHR_Inop;;1;Connection Over Empty;;;
